epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.616,2.78543,11.8113,2.06934,0.00076,0.10417,0.01513,0.00825,2.99751,4.27259,1.88543,0.000132164,0.000132164,0.000132164
2,59.2972,2.59144,8.55548,1.75885,0.89284,0.05312,0.06161,0.03208,2.71556,4.54214,1.72771,0.000262869,0.000262869,0.000262869
3,89.1772,2.46688,7.57637,1.6832,0.65164,0.08121,0.08095,0.04414,2.87608,4.30323,1.75982,0.000390934,0.000390934,0.000390934
4,117.805,2.4593,6.89395,1.64353,0.55558,0.14348,0.07196,0.02694,2.65799,3.91511,1.70309,0.00038812,0.00038812,0.00038812
5,145.334,2.29983,6.18895,1.59482,0.47244,0.14546,0.11464,0.05392,2.41423,4.24978,1.52683,0.00038416,0.00038416,0.00038416
6,171.277,2.30923,5.95378,1.61736,0.5365,0.15349,0.10708,0.043,2.52702,4.08077,1.64687,0.0003802,0.0003802,0.0003802
7,198.438,2.21641,5.3731,1.55004,0.61844,0.13257,0.1434,0.0798,2.55745,3.44873,1.57945,0.00037624,0.00037624,0.00037624
8,227.419,2.2724,5.13286,1.56226,0.60008,0.18987,0.23629,0.11052,2.27561,2.9214,1.49025,0.00037228,0.00037228,0.00037228
9,256.909,2.14969,4.78268,1.51723,0.50566,0.19878,0.19669,0.07646,2.46336,3.07322,1.60186,0.00036832,0.00036832,0.00036832
10,285.721,2.1731,4.44728,1.56554,0.51026,0.2242,0.27682,0.11514,2.29492,2.9117,1.51579,0.00036436,0.00036436,0.00036436
11,312.721,2.10747,4.11375,1.47728,0.45158,0.22649,0.17772,0.08635,2.26823,3.15597,1.44342,0.0003604,0.0003604,0.0003604
12,341.976,2.08319,3.93342,1.48989,0.46593,0.2636,0.21495,0.10626,2.31264,2.87716,1.53702,0.00035644,0.00035644,0.00035644
13,370.705,2.02643,3.79873,1.44767,0.52073,0.2351,0.19652,0.09908,2.0927,2.93475,1.38868,0.00035248,0.00035248,0.00035248
14,401.352,2.12772,3.67099,1.46184,0.41335,0.28833,0.26798,0.12595,2.12701,2.60596,1.38808,0.00034852,0.00034852,0.00034852
15,431.333,2.04959,3.45503,1.46881,0.48352,0.28014,0.26553,0.10321,2.2246,3.0546,1.42035,0.00034456,0.00034456,0.00034456
16,461.376,2.07103,3.37618,1.45558,0.34069,0.21844,0.20559,0.10888,2.06894,2.76719,1.39516,0.0003406,0.0003406,0.0003406
17,491.395,2.04342,3.27929,1.41483,0.51255,0.25758,0.25809,0.13572,2.02188,2.7363,1.37095,0.00033664,0.00033664,0.00033664
18,522.721,1.99276,3.12481,1.40229,0.42574,0.31953,0.29261,0.13417,2.20204,2.42433,1.41052,0.00033268,0.00033268,0.00033268
19,549.779,2.02887,3.0833,1.41999,0.46831,0.26409,0.25688,0.12458,2.06339,2.83767,1.32852,0.00032872,0.00032872,0.00032872
20,571.621,1.93545,2.94012,1.37165,0.39077,0.35695,0.29202,0.15064,2.02858,2.51517,1.32651,0.00032476,0.00032476,0.00032476
21,593.368,1.92879,2.92438,1.36016,0.4364,0.27501,0.27971,0.1487,2.04214,2.4958,1.33908,0.0003208,0.0003208,0.0003208
22,615.14,1.90494,2.86806,1.36201,0.35947,0.32224,0.29391,0.15464,2.06799,2.38876,1.30038,0.00031684,0.00031684,0.00031684
23,637,1.95654,2.7658,1.35467,0.42868,0.34063,0.29541,0.1467,2.0354,2.48686,1.32811,0.00031288,0.00031288,0.00031288
24,658.811,1.97455,2.77578,1.37276,0.36736,0.33667,0.31822,0.16244,2.00751,2.67973,1.28906,0.00030892,0.00030892,0.00030892
25,683.899,1.8656,2.60482,1.3209,0.44427,0.35176,0.30441,0.14915,2.11763,2.47375,1.37015,0.00030496,0.00030496,0.00030496
26,714.188,1.8875,2.59141,1.34323,0.3959,0.33492,0.33078,0.16343,2.17544,2.35363,1.36116,0.000301,0.000301,0.000301
27,741.066,1.90401,2.58167,1.33625,0.40088,0.28448,0.30668,0.16103,1.9893,2.39246,1.29462,0.00029704,0.00029704,0.00029704
28,768.113,1.7993,2.47606,1.30763,0.35327,0.37245,0.32849,0.17687,1.98488,2.47116,1.33672,0.00029308,0.00029308,0.00029308
29,794.824,1.8924,2.52124,1.32563,0.36712,0.34464,0.3313,0.1714,2.07294,2.32573,1.32678,0.00028912,0.00028912,0.00028912
30,821.489,1.79519,2.41967,1.2941,0.41581,0.30994,0.32698,0.16613,2.03289,2.3283,1.2794,0.00028516,0.00028516,0.00028516
31,847.989,1.84633,2.3495,1.29017,0.43953,0.28872,0.31967,0.17788,2.17946,2.25255,1.33753,0.0002812,0.0002812,0.0002812
32,874.789,1.84122,2.39839,1.30473,0.44913,0.28942,0.3345,0.17961,2.07373,2.30593,1.28645,0.00027724,0.00027724,0.00027724
